p,z,is_prime,inv_alpha_0_pred,inv_alpha_0_frac_err,inv_alpha_0_ppm,inv_alpha_0_status,inv_alpha_MZ_pred,inv_alpha_MZ_frac_err,inv_alpha_MZ_status,v_EW_GeV_pred,v_EW_GeV_frac_err,v_EW_GeV_status,sin2_theta_W_pred,sin2_theta_W_frac_err,sin2_theta_W_status,m_e_MeV_pred,m_mu_MeV_pred,m_tau_MeV_pred,m_e_frac_err,m_mu_frac_err,m_e_status,m_mu_status,Omega_Lambda_pred,Omega_Lambda_frac_err,Omega_Lambda_status,M_GUT_GeV,alpha_GUT,composite_score,n_observables_scored,runtime_s
104729,4,True,136.03157806548276,0.0073296143001193945,7329.614300119394,ok,126.94757806548276,0.007849990109707073,ok [non-independent of inv_alpha_0],212.19033745724184,0.13820836058304833,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.786940251617665e+17,0.01666227235993136,0.0978654029288247,2,2.905200000213881e-05
104729,5,True,136.53157806548276,0.003680938015477494,3680.938015477494,ok,127.44757806548276,0.003942274716434596,ok [non-independent of inv_alpha_0],227.83959493037005,0.07465033331829236,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.786940251617665e+17,0.013329817887945088,0.05284988916358264,2,2.8009999994083046e-05
104729,6,True,137.03157806548276,3.226173083559348e-05,32.26173083559348,ok,127.94757806548276,3.455932316211844e-05,ok [non-independent of inv_alpha_0],243.4888524034982,0.011092306053536612,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.786940251617665e+17,0.011108181573287572,0.007843478004195634,2,2.6415000036195124e-05
104729,7,True,137.53157806548276,0.0036164145538063073,3616.414553806307,ok,128.44757806548276,0.003873156070110359,ok [non-independent of inv_alpha_0],259.1381098766264,0.05246572121121924,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.786940251617665e+17,0.009521298491389349,0.03718689524844984,2,2.6565000041500753e-05
104729,8,True,138.03157806548276,0.007265090838448208,7265.090838448207,ok,128.94757806548276,0.007780871463382836,ok [non-independent of inv_alpha_0],274.78736734975456,0.11602374847597499,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.786940251617665e+17,0.00833113617996568,0.08220186054861292,2,2.752400001782007e-05
104743,4,True,136.0346682880364,0.007307063856627842,7307.063856627842,ok,126.95066828803641,0.007825838689223983,ok [non-independent of inv_alpha_0],212.20188404107188,0.13816146518937586,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.786713453821133e+17,0.016661529964395346,0.09783144598103402,2,5.254699999568402e-05
104743,5,True,136.5346682880364,0.003658387571985941,3658.387571985941,ok,127.45066828803641,0.003918123295951506,ok [non-independent of inv_alpha_0],227.85183880544008,0.07460060594005327,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.786713453821133e+17,0.013329223971516278,0.05281398586667159,2,3.925400000071022e-05
104743,6,True,137.0346682880364,9.71128734404077e-06,9.711287344040771,ok,127.95066828803641,1.0407902679029384e-05,ok [non-independent of inv_alpha_0],243.5017935698083,0.011039746690730587,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.786713453821133e+17,0.01110768664293023,0.0078062827678927575,2,2.8184999962377333e-05
104743,7,True,137.5346682880364,0.00363896499729786,3638.96499729786,ok,128.4506682880364,0.003897307490593448,ok [non-independent of inv_alpha_0],259.15174833417655,0.0525211125585921,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.786713453821133e+17,0.009520874265368769,0.0372270689864503,2,5.832400000826965e-05
104743,8,True,138.0346682880364,0.007287641281939761,7287.641281939761,ok,128.9506682880364,0.007805022883865925,ok [non-independent of inv_alpha_0],274.80170309854475,0.11608197180791467,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.786713453821133e+17,0.008330764982197673,0.08224394778422218,2,3.3629000029122835e-05
104759,4,True,136.03819950897872,0.00728129529241179,7281.29529241179,ok,126.95419950897872,0.0077982406763573864,ok [non-independent of inv_alpha_0],212.21507899120334,0.13810787510680148,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.786454302733673e+17,0.016660681674343796,0.09779264396581977,2,2.8115000020534353e-05
104759,5,True,136.53819950897872,0.00363261900776989,3632.61900776989,ok,127.45419950897872,0.0038905252830849094,ok [non-independent of inv_alpha_0],227.86583058376823,0.07454377961267065,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.786454302733673e+17,0.013328545339475037,0.05277296182610004,2,3.0508999998346553e-05
104759,6,True,137.03819950897872,1.6057276872010852e-05,16.057276872010853,ok,127.95419950897872,1.719011018756782e-05,ok [non-independent of inv_alpha_0],243.51658217633312,0.010979684118539852,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.786454302733673e+17,0.011107121116229197,0.007763817398002634,2,2.6605000016388658e-05
104759,7,True,137.53819950897872,0.0036647335615139116,3664.733561513912,ok,128.45419950897872,0.003924905503460045,ok [non-independent of inv_alpha_0],259.167333768898,0.05258441137559096,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.786454302733673e+17,0.009520389528196454,0.03727298345849354,2,2.7432000024418812e-05
