p,z,inv_alpha_0_pred,inv_alpha_0_frac_err,n_s_pred,n_s_frac_err,n_s_sigma,delta_CP_pred,delta_CP_frac_err,delta_CP_sigma,composite_3obs_score
104711,6,137.02760436766656,6.125920480424777e-05,0.968175580540856,0.0033947357662513955,0.7799001287752313,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.0024862909884797975
104717,6,137.02892900293284,5.15928742404508e-05,0.9681761883700967,0.0033953657063910134,0.7800448500230212,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.0024865045834233765
104723,6,137.03025356886906,4.192704960262246e-05,0.9681767961529031,0.003395995598407198,0.7801895602150252,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.0024867307190524464
104729,6,137.03157806548276,3.226173083559348e-05,0.9681774038892815,0.0033966254423065077,0.7803342593527499,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.0024869693899703333
104743,6,137.0346682880364,9.71128734404077e-06,0.968178821760313,0.0033980948909866538,0.7806718476935768,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.0024875750054085015
104759,6,137.03819950897872,1.6057276872010852e-05,0.9681804418749715,0.0033997739402752227,0.7810575892789435,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.002488350571929319
104761,6,137.038640876955,1.9278094607607316e-05,0.9681806443661061,0.0033999837973946413,0.7811058014538308,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.0024884537697685304
104773,6,137.04128892318178,3.860182154429563e-05,0.968181859204681,0.0034012428279418055,0.7813950487335829,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.002489102107226617
104779,6,137.0426128424022,4.826292686899037e-05,0.968182466554401,0.0034018722711172235,0.7815396558097641,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.0024894450040423375
104789,6,137.04481922054677,6.436364609103475e-05,0.9681834787008926,0.0034029212362862763,0.7817806430696734,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.0024900442194637227
104801,6,137.04746662044582,8.368265654626583e-05,0.9681846931066993,0.003404179818322439,0.7820697873093623,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.002490808974866618
104803,6,137.04790782684017,8.690229516170538e-05,0.9681848954896417,0.0034043895633140493,0.7821179737242205,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.00249094127677697
104827,6,137.05320170373076,0.00012553358129072705,0.9681873236833572,0.003406906087011367,0.782696115085064,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.002492636675697351
104831,6,137.0540839089016,0.00013197134346068265,0.9681877283102449,0.0034073254329411657,0.7827924548202216,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.002492938565014547
104849,6,137.0580534516768,0.00016093849663034214,0.9681895488765255,0.0034092122256457144,0.7832259229822738,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.0024943652649212977
104851,6,137.0584944735571,0.00016415678878149554,0.9681897511359437,0.003409421842619716,0.7832740799866105,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.0024945306691228387
104869,6,137.06246332470636,0.00019311889491270434,0.9681915712392557,0.0034113081555142703,0.7837074379180285,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.0024960811461701535
104879,6,137.0646679731256,0.00020920699171929672,0.9681925822277844,0.003412355920597358,0.783948149472474,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.002496990556621305
104891,6,137.06731329776923,0.00022851085830403117,0.9681937952443757,0.003413613062882863,0.7842369629465893,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.002498127057136687
104911,6,137.07172155788405,0.000260679486578946,0.9681958165275665,0.003415707873941857,0.7847182208491661,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.002500130603267178
104917,6,137.0730438862195,0.0002703289826550625,0.9681964228123395,0.0034163362134309776,0.7848625743665596,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.002500758278830048
104933,6,137.07656975741747,0.0002960585079006006,0.9681980393457479,0.0034180115511948444,0.7852474632733107,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.0025024919999572133
104947,6,137.0796544918701,0.0003185689027839395,0.9681994535429093,0.0034194771923611576,0.7855841768831622,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.002504080366138898
104953,6,137.08097640584757,0.00032821537514385785,0.9682000595504073,0.0034201052444889136,0.785728464382703,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.0025047814436399596
104959,6,137.08229825079172,0.00033786134374330477,0.9682006655117145,0.00342073324874545,0.7858727408844012,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.0025054947130933695
104971,6,137.0849417336101,0.00035715176987980205,0.9682018772957807,0.0034219891136705216,0.7861612609001635,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.002506957778274675
104987,6,137.08846594797788,0.0003828692046512741,0.9682034927205823,0.0034236633025000306,0.7865458858529237,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.002508984141181683
104999,6,137.0911087867891,0.00040215493124058085,0.9682047040737823,0.0034249187208854398,0.7868343032815145,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.00251056048581059
105019,6,137.09551290505334,0.0004342933349715123,0.9682067225856404,0.0034270106597994246,0.7873149013429679,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.002513295166942356
