p,z,is_prime,inv_alpha_0_pred,inv_alpha_0_frac_err,inv_alpha_0_ppm,inv_alpha_0_status,inv_alpha_MZ_pred,inv_alpha_MZ_frac_err,inv_alpha_MZ_status,v_EW_GeV_pred,v_EW_GeV_frac_err,v_EW_GeV_status,sin2_theta_W_pred,sin2_theta_W_frac_err,sin2_theta_W_status,m_e_MeV_pred,m_mu_MeV_pred,m_tau_MeV_pred,m_e_frac_err,m_mu_frac_err,m_e_status,m_mu_status,Omega_Lambda_pred,Omega_Lambda_frac_err,Omega_Lambda_status,M_GUT_GeV,alpha_GUT,composite_score,n_observables_scored,runtime_s
104779,6,True,137.0426128424022,4.826292686899037e-05,48.26292686899037,ok,127.9586128424022,5.168221209676588e-05,ok [non-independent of inv_alpha_0],243.5350659882428,0.010904613807802806,ok,0.23122000000000004,1.2003968348598266e-16,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.786130433440876e+17,0.01110641436978238,0.007710801891095166,2,2.8692999990198587e-05
104773,6,True,137.04128892318178,3.860182154429563e-05,38.60182154429563,ok,127.95728892318178,4.133521306255543e-05,ok [non-independent of inv_alpha_0],243.5295210716971,0.010927133978973661,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.786227586114363e+17,0.01110662637482886,0.007726698748335776,2,2.617100000179562e-05
104761,6,True,137.038640876955,1.9278094607607316e-05,19.278094607607315,ok,127.95464087695498,2.063959105746378e-05,ok [non-independent of inv_alpha_0],243.51843065482745,0.010972176692277411,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.786421912326514e+17,0.011107050433489123,0.0077585125188881195,2,2.6165999997829203e-05
104759,6,True,137.03819950897872,1.6057276872010852e-05,16.057276872010853,ok,127.95419950897872,1.719011018756782e-05,ok [non-independent of inv_alpha_0],243.51658217633312,0.010979684118539852,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.786454302733673e+17,0.011107121116229197,0.007763817398002634,2,2.3955000017394923e-05
104743,6,True,137.0346682880364,9.71128734404077e-06,9.711287344040771,ok,127.95066828803641,1.0407902679029384e-05,ok [non-independent of inv_alpha_0],243.5017935698083,0.011039746690730587,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.786713453821133e+17,0.01110768664293023,0.0078062827678927575,2,2.3967000004176953e-05
104729,6,True,137.03157806548276,3.226173083559348e-05,32.26173083559348,ok,127.94757806548276,3.455932316211844e-05,ok [non-independent of inv_alpha_0],243.4888524034982,0.011092306053536612,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.786940251617665e+17,0.011108181573287572,0.007843478004195634,2,2.5445999995099555e-05
104723,6,True,137.03025356886906,4.192704960262246e-05,41.92704960262246,ok,127.94625356886905,4.4910834773544216e-05,ok [non-independent of inv_alpha_0],243.48330586484812,0.011114832812736085,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.787037462274885e+17,0.011108393713303348,0.007859429570031247,2,2.5528000037411402e-05
104717,6,True,137.02892900293284,5.15928742404508e-05,51.592874240450804,ok,127.94492900293284,5.526288817025196e-05,ok [non-independent of inv_alpha_0],243.4777591314618,0.01113736036283894,ok,0.23122000000000004,1.2003968348598266e-16,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.78713467989434e+17,0.011108605869525542,0.007875387535747314,2,2.9346000019359053e-05
104711,6,True,137.02760436766656,6.125920480424777e-05,61.25920480424777,ok,127.94360436766655,6.561548341132769e-05,ok [non-independent of inv_alpha_0],243.47221220332136,0.011159888703917783,ok,0.23121999999999998,1.2003968348598266e-16,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.787231904476925e+17,0.011108818041956323,0.007891351866885832,2,2.6311999988593016e-05
104707,6,True,137.0267212389686,6.770370627724177e-05,67.70370627724176,ok,127.9427212389686,7.251751462576782e-05,ok [non-independent of inv_alpha_0],243.46851414302213,0.011174908037437516,ok,0.23122,0.0,ok [CIRCULAR: returns hardcoded exp value],0.5104452743464521,107.19350761275493,1776.8599999999997,0.0010835162255182769,0.014529204196925426,ok [NON-INDEPENDENT: no p/z parameters],ok [NON-INDEPENDENT: no p/z parameters],1.0532592229639985e-104,1.0,"ok [NON-INDEPENDENT: uses cosmological p_cosmo, not substrate p]",6.787296724734167e+17,0.011108959499249354,0.007901998273760544,2,2.8902999986257782e-05
