p,M_gut_GeV,inv_alpha_gut_BPR,inv_a3_SM_at_gut,ratio_BPR_SM,alpha_s_BPR,alpha_s_exp,alpha_s_err_pct,sin2_tw_BPR,sin2_tw_exp,sin2_tw_err_pct,SM_spread_at_gut,is_baseline
104593,6.789145404316344e+17,89.98475066942619,49.19749303045003,1.8290515456495213,0.02029672931455982,0.1179,82.78479277815113,0.273897415936532,0.23122,18.457493268978457,14.025113919639956,0
104597,6.789080495736099e+17,89.98589776472045,49.19748237903647,1.8290752577831975,0.020296252383650744,0.1179,82.78519729970252,0.2738986238352043,0.23122,18.458015671310566,14.025097029541307,0
104623,6.788658665581359e+17,89.99335317138289,49.197413154775425,1.8292293720457036,0.02029315317660116,0.1179,82.78782597404482,0.2739064737305628,0.23122,18.461410661085896,14.024987259641648,0
104639,6.788399142919178e+17,89.99794050003267,49.197370563780254,1.8293241990109594,0.02029124669895184,0.1179,82.78944300343355,0.2739113031900192,0.23122,18.463499346950613,14.024919722492157,0
104651,6.788204533472617e+17,90.00138068965214,49.19733862480746,1.8293953129462472,0.02028981720386663,0.1179,82.79065546745834,0.27391492466216494,0.23122,18.46506559214814,14.02486907640673,0
104659,6.788074809337612e+17,90.00367400329884,49.19731733419349,1.829442719242413,0.02028886438001144,0.1179,82.79146363018538,0.27391733868060286,0.23122,18.46610962745561,14.024835315576013,0
104677,6.787782975347411e+17,90.00883353174868,49.197269436261756,1.829549374653017,0.020286721031788402,0.1179,82.7932815676095,0.2739227693555729,0.23122,18.468458332139477,14.0247593631414,0
104681,6.787718131868257e+17,90.00998001330065,49.19725879339545,1.8295730742092515,0.02028624482719737,0.1179,82.79368547311503,0.2739239760093339,0.23122,18.468980196061704,14.024742486596253,0
104683,6.787685711290117e+17,90.01055324312449,49.1972534721148,1.8295849237629256,0.020286006737855286,0.1179,82.79388741488101,0.2739245793140046,0.23122,18.469241118417347,14.024734048565513,0
104693,6.787523620012452e+17,90.0134192827318,49.19722686723644,1.8296441692870593,0.02028481642065865,0.1179,82.79489701386035,0.2739275956152875,0.23122,18.47054563415254,14.024691860829826,0
104701,6.787393960923967e+17,90.01571198301731,49.19720558516336,1.8296915630135666,0.02028386432228741,0.1179,82.79570456124901,0.2739300083898673,0.23122,18.471589131505624,14.024658113542515,0
104707,6.787296724734167e+17,90.01743143159098,49.19718962467567,1.8297271067378458,0.02028315033912952,0.1179,82.79631014492833,0.2739318178154019,0.23122,18.472371687311593,14.024632804769183,0
104711,6.787231904476925e+17,90.01857769414815,49.197178984858645,1.829750801806198,0.020282674393502592,0.1179,82.7967138307866,0.2739330240251012,0.23122,18.472893359182258,14.02461593305933,0
104717,6.78713467989434e+17,90.02029703325057,49.19716302589515,1.829786343287071,0.020281960539769568,0.1179,82.79731930469079,0.2739348332286773,0.23122,18.47367581899372,14.024590626702931,0
104723,6.787037462274885e+17,90.0220163066786,49.19714706784604,1.8298218834220696,0.020281246763673186,0.1179,82.7979247127454,0.2739366422991013,0.23122,18.47445822121845,14.02456532179648,0
104729,6.786940251617665e+17,90.02373551443853,49.1971311107112,1.8298574222113242,0.02028053306519972,0.1179,82.79853005496207,0.2739384512363906,0.23122,18.475240565863935,14.024540018339806,1
104743,6.786713453821133e+17,90.02774674387088,49.19709388095151,1.8299403408201815,0.0202788680705516,0.1179,82.79994226416319,0.2739426715724169,0.23122,18.477065812826275,14.024480982578012,0
104759,6.786454302733673e+17,90.03233056843574,49.19705133874747,1.8300350959758946,0.02027696573669671,0.1179,82.8015557788832,0.2739474939264227,0.23122,18.479151425665034,14.024413522797317,0
104761,6.786421912326514e+17,90.03290351368865,49.197046021428825,1.8300469396978203,0.020276727983740542,0.1179,82.80175743533457,0.2739480966541512,0.23122,18.479412098499783,14.024405091049182,0
104773,6.786227586114363e+17,90.0363410320813,49.19701411964861,1.83011799889136,0.020275301646903506,0.1179,82.80296722060771,0.27395171271015334,0.23122,18.48097600127728,14.02435450394055,0
104779,6.786130433440876e+17,90.03805969285064,49.196998170128644,1.830153526471048,0.02027458859475503,0.1179,82.80357201462677,0.27395352053866007,0.23122,18.481757866387017,14.024329212558897,0
104789,6.785968527770988e+17,90.04092398167012,49.19697158962488,1.8302127361160334,0.020273400346712198,0.1179,82.80457985859864,0.27395653329068376,0.23122,18.48306084710827,14.024287063474361,0
104801,6.785774266458785e+17,90.04436088772565,49.196939696368446,1.8302837827608294,0.020271974733120448,0.1179,82.80578903043218,0.27396014810565666,0.23122,18.484624213154856,14.024236489882014,0
104803,6.785741892276616e+17,90.04493367989427,49.19693438118075,1.8302956233455687,0.02027173716097561,0.1179,82.80599053352366,0.27396075052312796,0.23122,18.484884751806916,14.024228061512957,0
104827,6.785353462316872e+17,90.05180661758436,49.19687060683892,1.8304376987154574,0.020268886966243252,0.1179,82.80840800149004,0.2739679783811313,0.23122,18.488010717555266,14.024126933628047,0
104831,6.785288734797775e+17,90.05295200520702,49.19685997920151,1.8304613758536183,0.020268412054189375,0.1179,82.80881081069603,0.2739691828174699,0.23122,18.488531622467733,14.02411008123159,0
104849,6.784997499161599e+17,90.058105888981,49.196812159850886,1.830567915586951,0.020266275375460427,0.1179,82.81062309121253,0.27397460205053864,0.23122,18.490875378660423,14.02403425340416,0
104851,6.784965143504367e+17,90.05867850632131,49.19680684709647,1.8305797525888912,0.02026603800968383,0.1179,82.81082441926732,0.2739752041137757,0.23122,18.49113576411023,14.024025828893585,0
104869,6.784673977300933e+17,90.06383173473924,49.19675903686645,1.8306862788918337,0.020263902104289903,0.1179,82.81263604385927,0.2739806220191566,0.23122,18.493478946093163,14.023950015528854,0
104879,6.784512245291185e+17,90.06669438462131,49.19673247917335,1.8307454549496678,0.020262715790779224,0.1179,82.8136422470066,0.2739836314504502,0.23122,18.494780490636696,14.023907902615498,0
104891,6.78431819232196e+17,90.07012932429589,49.19670061328396,1.8308164612969067,0.020261292497875453,0.1179,82.81484945048732,0.2739872422814962,0.23122,18.496342133680553,14.023857372419464,0
104911,6.783994832366783e+17,90.07585364161892,49.19664751156877,1.8309347932791,0.020258921029563202,0.1179,82.8168608739922,0.2739932591541882,0.23122,18.498944362160795,14.023773168271092,0
104917,6.78389783940582e+17,90.0775707949491,49.19663158302823,1.8309702899664355,0.020258209756348306,0.1179,82.81746415916174,0.2739950639286808,0.23122,18.499724906444413,14.023747910156807,0
104933,6.783639225403638e+17,90.08214955045777,49.19658911137308,1.8310649412406708,0.020256313405069646,0.1179,82.81907259960167,0.2739998760125571,0.23122,18.501806077569885,14.023680562246504,0
104947,6.783412978582693e+17,90.08615557973664,49.19655195398685,1.8311477532814397,0.020254654547722996,0.1179,82.82047960328839,0.2740040858128438,0.23122,18.503626767945587,14.023621641248333,0
104953,6.783316027208164e+17,90.08787234036517,49.19653603091012,1.831183241920998,0.02025394373739261,0.1179,82.82108249585019,0.2740058897921368,0.23122,18.504406968314502,14.023596391798087,0
104959,6.783219082761585e+17,90.08958903556524,49.19652010874366,1.831218729219705,0.020253233004162076,0.1179,82.82168532301776,0.2740076936389568,0.23122,18.50518711139035,14.02357114379128,0
104971,6.783025214648718e+17,90.09302222970499,49.196488267141135,1.8312896997950785,0.020251811768946252,0.1179,82.82289078121607,0.2740113009352464,0.23122,18.50674722569258,14.023520652107273,0
104987,6.78276676692096e+17,90.09759941490597,49.196445817332936,1.8313843188883923,0.020249917268118707,0.1179,82.82449765214699,0.2740161098397006,0.23122,18.508827021754428,14.023453338839992,0
104999,6.782572963432954e+17,90.10103199863225,49.19641398422208,1.8314552769543082,0.020248496751952536,0.1179,82.82570250046435,0.2740197159002704,0.23122,18.510386601622006,14.023402860621353,0
105019,6.782250019137203e+17,90.10675239037244,49.19636093712111,1.8315735284880061,0.020246129909362653,0.1179,82.82771000054058,0.2740257248249212,0.23122,18.512985392665517,14.02331874307552,0
105023,6.782185439503319e+17,90.1078963815665,49.19635032891322,1.8315971770086599,0.02024565664346161,0.1179,82.82811141351856,0.2740269264334522,0.23122,18.513505074583605,14.023301921488716,0
105031,6.78205628945871e+17,90.1101842768155,49.19632911370947,1.8316444722641843,0.020244710214244316,0.1179,82.82891415246453,0.274029329474156,0.23122,18.51454436214686,14.023268280237062,0
105037,6.781959434994479e+17,90.1119001220127,49.19631320336707,1.8316799421434147,0.020244000482077265,0.1179,82.82951613055364,0.2740311316003902,0.23122,18.515323761089096,14.02324305097983,0
