p,best_z,best_score_core,mean_score_core,min_score_core,n_s_pred,n_s_sigma
38197,12,0.11023996479490014,0.24107623452661048,0.11023996479490014,0.9554602090657568,2.2475692700579017
38447,12,0.10889904020107578,0.23967668577470713,0.10889904020107578,0.9555569584449276,2.2245337035886603
38677,12,0.10768279050450762,0.2383963798602398,0.10768279050450762,0.9556452299319366,2.203516682872241
38903,12,0.10650414439263906,0.23714511851765874,0.10650414439263906,0.955731287152444,2.1830268684656997
39139,12,0.10529097510278626,0.23584564818141143,0.10529097510278626,0.9558204436241521,2.1617991371066423
39371,12,0.1041161551510955,0.23457531652307326,0.1041161551510955,0.9559073930356137,2.141096896282454
39659,12,0.10268265248388203,0.2330081490272808,0.10268265248388203,0.956014384590962,2.115622716437615
39883,12,0.10158705150930886,0.23179673305224002,0.10158705150930886,0.9560968865878804,2.0959793838379976
40169,12,0.10021320391462832,0.23025953292289492,0.10021320391462832,0.9562013303861086,2.071111812831293
40499,12,0.09866343894497362,0.22849909689229905,0.09866343894497362,0.9563206172591336,2.042710176396747
40823,12,0.0971795235744859,0.22678448286029987,0.0971795235744859,0.9564364810806705,2.015123552221311
41113,12,0.09588361698013712,0.22526140777261566,0.09588361698013712,0.956539151295976,1.990678262862853
41387,12,0.09468776394441547,0.22383244707351846,0.09468776394441547,0.9566352736608866,1.9677919855031782
41669,12,0.09348649471895994,0.22237200485303374,0.09348649471895994,0.9567333205203858,1.944447495146223
41981,12,0.09219295227359914,0.22076831711570544,0.09219295227359914,0.9568407721809801,1.918863766433312
42293,12,0.09093745533198463,0.21917738611882226,0.09093745533198463,0.95694716431873,1.8935323050642934
42577,12,0.0898283546783494,0.21774034709358633,0.0898283546783494,0.9570431025978239,1.8706898576609763
42901,12,0.08860306219252756,0.2161138802672217,0.08860306219252756,0.9571515166993017,1.8448769763567447
43313,12,0.08710790483153338,0.21406569378450893,0.08710790483153338,0.9572878102472462,1.8124261316080466
43717,12,0.08571181432144773,0.21207915573218744,0.08571181432144773,0.9574197890663892,1.7810026032406505
44089,12,0.08448910217042756,0.21026922065891007,0.08448910217042756,0.957539884010008,1.7524085690457092
44507,12,0.08318869705634936,0.20825762197567724,0.08318869705634936,0.9576732277014448,1.7206600710845652
44879,12,0.08209822201199475,0.20648721647541518,0.08209822201199475,0.9577905005572717,1.6927379625543615
45317,12,0.08089667816294223,0.2044267872993805,0.08089667816294223,0.9579269294587464,1.6602548907746724
45763,12,0.07976662333894843,0.2023556655218174,0.07976662333894843,0.9580640553808905,1.627605861692744
46229,12,0.07868860505949436,0.20022092371453845,0.07868860505949436,0.9582054398197786,1.5939429000527165
46679,12,0.07774896815685294,0.1981880655791402,0.07774896815685294,0.9583401778870964,1.5618624078341963
47149,12,0.07687550686338743,0.19609507342784696,0.07687550686338743,0.9584790676472882,1.528793417312332
47629,12,0.07609866463237748,0.19398964984244105,0.07609866463237748,0.9586190200284043,1.495471421808503
48119,12,0.0754267861408805,0.1918740648456478,0.0754267861408805,0.9587599615734872,1.4619139110744725
48623,12,0.0748640620864864,0.1897338021424457,0.0748640620864864,0.9589029474795159,1.4278696477343102
49121,12,0.07443600218499609,0.18765487104931647,0.07443600218499609,0.9590423032777324,1.3946896957779875
49633,12,0.07412804198099275,0.1855548611466242,0.07412804198099275,0.959183626354914,1.3610413440680778
50129,11,0.07293416017514237,0.18355677503336468,0.07293416017514237,0.9593186916314297,1.3288829448976887
50753,11,0.07116696711970459,0.18109400310988538,0.07116696711970459,0.9594861030048415,1.2890230940853535
51347,11,0.06963097171854501,0.178802542031663,0.06963097171854501,0.9596429356291184,1.2516819930670433
51869,11,0.0684032505716251,0.17683151652218204,0.0684032505716251,0.9597787743432629,1.219339442080266
52529,11,0.06701999216856644,0.17439660491274855,0.06701999216856644,0.9599479378564924,1.1790624151208642
53129,11,0.06593110867854475,0.17223842452536997,0.06593110867854475,0.9600992818989599,1.1430281192952625
53783,11,0.06493187956393016,0.16994593709125974,0.06493187956393016,0.9602616725046489,1.1043636893693074
54449,11,0.0641193092592822,0.16767537426333115,0.0641193092592822,0.960424359127153,1.0656287792492904
55127,11,0.06350712408097657,0.1654298521078079,0.06350712408097657,0.960587274121228,1.0268394949457051
55829,11,0.0631026207248926,0.16317444251686142,0.0631026207248926,0.9607531647051151,0.9873417368773595
56519,10,0.06289662290497185,0.161025975717771,0.06289662290497185,0.9609135312562836,0.9491592246943648
57191,10,0.060952881590888394,0.15899805648985854,0.060952881590888394,0.9610672247880665,0.9125655266508289
57943,10,0.058960084633045716,0.1568032966398632,0.058960084633045716,0.9612363854289234,0.8722891835896563
58711,10,0.057136610102886544,0.1546420589378992,0.057136610102886544,0.9614061504190269,0.8318689478507373
59471,10,0.05555588323612789,0.15258195327678356,0.05555588323612789,0.9615712570275537,0.7925578505824359
60343,10,0.054032200578410725,0.15031300406706224,0.054032200578410725,0.9617572636136482,0.7482705681789913
61283,10,0.05275416577261981,0.14797839775589783,0.05275416577261981,0.9619538029135586,0.7014754967717604
