p,z,inv_alpha_0_pred,inv_alpha_0_frac_err,inv_alpha_0_sigma,v_EW_pred,v_EW_frac_err,v_EW_sigma,n_s_pred,n_s_frac_err,n_s_sigma,delta_cp_pred,delta_cp_frac_err,delta_cp_sigma,score_core,score_all,score_core_sigma
30091,4,108.75502117152901,0.2063762668314286,1346713233.9271898,127.13883905114379,0.4836372388467883,5954.058047442811,0.951774243147837,0.01360323023335371,3.1251802028959514,1.1235827312949387,0.0605495557734626,1.6092726378902504,0.3718172550532199,0.26473922966183516,952270060.0328882
30091,5,109.25502117152901,0.20272759054678668,1322903710.117666,137.46527107639182,0.4416973800812614,5437.736446180409,0.951774243147837,0.01360323023335371,3.1251802028959514,1.1625480363310334,0.02796986928843355,0.7433769704214783,0.3436532056736529,0.24349661855986296,935434184.2889467
30091,6,109.75502117152901,0.1990789142621448,1299094186.3081424,147.79170310163985,0.3997575213157345,4921.4148449180075,0.951774243147837,0.01360323023335371,3.1251802028959514,1.1928318537856692,0.0026489516842229956,0.07040324920734894,0.3157835413319497,0.22340017612465152,918598308.5450994
30091,7,110.25502117152901,0.1954302379775029,1275284662.4986186,158.11813512688786,0.3578176625502077,4405.093243655607,0.951774243147837,0.01360323023335371,3.1251802028959514,1.2172429362016228,0.017761652342494043,0.4720652489249528,0.2882936502499125,0.20416107716430362,901762432.8013505
30091,8,110.75502117152901,0.19178156169286098,1251475138.6890948,168.4445671521359,0.3158778037846808,3888.7716423932047,0.951774243147837,0.01360323023335371,3.1251802028959514,1.2374629934615633,0.03466805473374862,0.9213998547014077,0.26130341973382776,0.18570532855911118,884926557.0577062
30091,9,111.25502117152901,0.1881328854082191,1227665614.879571,178.7709991773839,0.27393794501915397,3372.450041130804,0.951774243147837,0.01360323023335371,3.1251802028959514,1.2545685607780586,0.048970368543527265,1.3015235728457468,0.23498508494512915,0.16809158601890936,868090681.3141725
30091,10,111.75502117152901,0.1844842091235772,1203856091.0700471,189.09743120263195,0.23199808625362703,2856.1284398684024,0.951774243147837,0.01360323023335371,3.1251802028959514,1.2692849822171328,0.06127506874342213,1.6285551603807304,0.20959190757433493,0.15149027804086132,851254805.570756
30091,11,112.25502117152901,0.1808355328389353,1180046567.2605233,199.42386322787996,0.19005822748810022,2339.8068386060017,0.951774243147837,0.01360323023335371,3.1251802028959514,1.2821211922000837,0.07200768578602319,1.9138042711129721,0.18550420449825403,0.13619267092808296,834418929.8274637
30091,12,112.75502117152901,0.1771868565542934,1156237043.4509995,209.750295253128,0.1481183687225733,1823.4852373436,0.951774243147837,0.01360323023335371,3.1251802028959514,1.2934462286822819,0.08147677983468389,2.165471748495154,0.1633006939492725,0.12263538112392271,817583054.0843033
30097,2,107.759133119874,0.21364361306389235,1394136474.4821906,106.49511109880416,0.5674798509511649,6986.244445059792,0.9517774480494482,0.013599908747592275,3.1244171310837587,0.9934460576052707,0.16935948360763314,4.501198719882872,0.4287639062692606,0.3148589235055668,985803355.0182408
